read_name	primer	expected_insert_distance	fasta_path	hash	read_length	run_name	sample_well	dye	run_start	run_end	abi_path	date
VR-22-c4-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-22-c4_VRI_primer_2__2021-11-02_A12.seq	-4039831858049912085	1000	2021-11-01_731053_133377_data	A12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-22-c4_VRI_primer_2__2021-11-02_A12.ab1	2021-11-01
VR-19-c8-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-19-c8_VRI_primer_2__2021-11-02_H11.seq	5944898788156023688	1000	2021-11-01_731053_133377_data	H11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-19-c8_VRI_primer_2__2021-11-02_H11.ab1	2021-11-01
VR-26-c1-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-c1_VRI_primer_2__2021-11-02_D12.seq	-5901406540758034822	1000	2021-11-01_731053_133377_data	D12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-c1_VRI_primer_2__2021-11-02_D12.ab1	2021-11-01
VR-22-c7-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-22-c7_VRI_primer_2__2021-11-02_B12.seq	7311371067938351665	1000	2021-11-01_731053_133377_data	B12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-22-c7_VRI_primer_2__2021-11-02_B12.ab1	2021-11-01
VR-18-c4-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-18-c4_VRI_primer_2__2021-11-02_C11.seq	-3306754502463674573	1000	2021-11-01_731053_133377_data	C11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-18-c4_VRI_primer_2__2021-11-02_C11.ab1	2021-11-01
VR-26-AGE-c1-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-AGE-c1_VRI_primer_2__2021-11-02_H12.seq	-2497201776957547551	1000	2021-11-01_731053_133377_data	H12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-AGE-c1_VRI_primer_2__2021-11-02_H12.ab1	2021-11-01
VR-26-AGE-c8-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-AGE-c8_VRI_primer_2__2021-11-02_H02.seq	-7240865556641370076	1000	2021-11-01_731053_133377_data	H2	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-AGE-c8_VRI_primer_2__2021-11-02_H02.ab1	2021-11-01
VR-22-c8-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-22-c8_VRI_primer_2__2021-11-02_C12.seq	7349330452126216022	1000	2021-11-01_731053_133377_data	C12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-22-c8_VRI_primer_2__2021-11-02_C12.ab1	2021-11-01
VR-18-c2-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-18-c2_VRI_primer_2__2021-11-02_B11.seq	-588163260867800236	1000	2021-11-01_731053_133377_data	B11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-18-c2_VRI_primer_2__2021-11-02_B11.ab1	2021-11-01
VR-19-c6-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-19-c6_VRI_primer_2__2021-11-02_G11.seq	9139030501385633877	1000	2021-11-01_731053_133377_data	G11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-19-c6_VRI_primer_2__2021-11-02_G11.ab1	2021-11-01
